web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw
"1758193850-11","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","3 Zimmer, 65m², CHF 1’850.–","Tösstalstr. 231/Seenerstr. 218, 8405 Winterthur","CHF 1’850.–","ruhig wohnen, stadtnah leben - Ihr neues Zuhause in Winterthur-Seen","Herzlich willkommen im Herzen des Quartiers Seen!Ab dem 1. Oktober 2025 vermieten wir an der Seenerstrasse 218 in Winterthur eine helle und gepflegte 3-Zimmerwohnung mit frisch renoviertem Bad.Die Liegenschaft befindet sich im beliebten Quartier Seen, das ländlichen Charme mit urbaner Nähe vereint: Umgeben von Natur und Naherholungsgebieten wohnen Sie hier ruhig und grün und erreichen dennoch in wenigen Minuten das Zentrum von Winterthur. Der Bahnhof Winterthur Seen liegt nur wenige Gehminuten entfernt. Auch die Bushaltestellen Zentrum Seen und St. Urban sind bequem erreichbar. Einkaufsmöglichkeiten wie Supermärkte, Fachgeschäfte und das Einkaufszentrum Shopping Seen befinden sich ebenfalls in kurzer Gehdistanz.Ihr neues Zuhause bietet Ihnen folgenden Ausbaustandard:- Korridor mit integrierter Garderobe, keramische Bodenplatten- lichtdurchfluteter Wohnbereich mit direktem Zugang zum Balkon, Parkettboden- zwei weitere Zimmer, werden neu mit Parkettboden ausgestattet- gepflegte u. moderne Küche mit Glaskeramikkochfeld, Geschirrspülmaschine sowie einem grossen Kühlschrank, keramische Bodenplatten- frisch saniertes Badezimmer mit Dusche, keramische BodenplattenWir machen Sie darauf aufmerksam, dass die Bilder den Zustand vor Sanierung repräsentieren. Die Schlafzimmer werden mit einem Parkettboden ausgestattet.Haben wir Ihr Interesse geweckt? Dann zögern Sie nicht uns zu kontaktieren. Wir freuen uns auf Sie!"
"1758193850-12","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","3.5 Zimmer, 89m², CHF 3’300.–","8406 Winterthur","CHF 3’300.–","Moderne 2.5-Zimmer-Wohnung in ruhiger Lage Winterthur","Dieses luxuriöse 3.5-Zimmer-Wohnobjekt im begehrten Kanton Zürich, eingebettet in die malerische Region Winterthur, ist ein wahres Juwel, das seinesgleichen sucht. Das Wohnzimmer besticht durch seine lichtdurchfluteten Räume und ein grosszügiges Ambiente, während die offene und luxuriöse Küche ein Ort der kulinarischen Kreativität darstellt. Mit 2 Schlafzimmern und 1 Badezimmer bietet die Wohnung einen Rückzugsort mit Stil. Der Balkon lädt dazu ein, die frische Luft zu geniessen, und der Lift sowie der Keller bieten praktischen Komfort auf höchstem Niveau. In der Umgebung finden Sie vielfältige Einkaufsmöglichkeiten nur wenige Schritte entfernt, Schulen in unmittelbarer Nähe und eine ausgezeichnete Verkehrsanbindung für maximale Mobilität.Der Zustand dieses imposanten Objekts, errichtet im Jahr 2025, kann als tadellos und aussergewöhnlich bezeichnet werden. Die Immobilie besticht durch eine moderne, grosszügige und familienfreundliche Gestaltung. Ein High-Quality-Ausbau sowie der Minergie-Standard setzen Massstäbe in Sachen Komfort und Nachhaltigkeit. Die zentrale und kinderfreundliche Umgebung bietet eine Fülle an Restaurants, Cafés und Bildungseinrichtungen in unmittelbarer Nähe. Die Minergie-zertifizierte Heizung sorgt für behagliche Wärme und maximale Energieeffizienz. Zu den herausragenden Vorteilen zählen der erstklassige Ausbaustandard, die grossen Fensterfronten für ein helles Ambiente, der elegante Eichenparkettboden, der elegante Neubau-Charakter, die den Wohnkomfort auf ein neues Level hebt.Dieses properti Angebot zeichnet sich aus durch: • Rollstuhlzugänglichkeit für maximale Barrierefreiheit • 3 Bruttomieten als Mietkaution • Hochwertige Ausstattung und durchdachte Raumaufteilung, die begeistert • Offener Wohn- und Essbereich mit Zugang zum sonnigen Balkon für puren Genuss • Moderne Küche mit hochwertigen Geräten und stilvollem Design für kulinarische Höhenflüge • Geräumiges Schlafzimmer mit grosszügigem Platzangebot und natürlichem Licht • Zusätzliches Zimmer für flexiblen Wohnraum nach Ihren Wünschen • Grosser Balkon, ideal für entspannte Stunden im Freien und gesellige Momente • Kellerraum zur praktischen Aufbewahrung und Organisation • Minergie-Zertifizierung für maximale Energieeffizienz und ein ökologisches Bewusstsein Diese extravagante Neubau-Wohnung in Winterthur vereint luxuriösen Wohnkomfort, zeitloses Design und eine erstklassige Lage. Ideal für Familien oder Paare, die das Besondere schätzen und höchste Ansprüche an Qualität und Nachhaltigkeit stellen. Verfügbar ab September 2025  entdecken Sie Ihr neues Zuhause und profitieren Sie von dieser einzigartigen Gelegenheit.Interessiert? Melden sie sich noch heute für einen Besichtigungstermin."
"1758193850-13","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","2.5 Zimmer, 60m², CHF 1’895.–","Neumarkt 5, 8400 Winterthur","CHF 1’895.–","Charmante Wohnung in Herzen von Winterthur","Per 01.12.2025 vermieten wir eine charmante 2.5-Zimmerwohnung. Die Liegenschaft befindet sich in einer urbanen Gegend im Herzen von Winterthur. Der Bahnhof sowie öffentliche Verkehrsmittel und Einkaufsmöglichkeiten liegen in direkter Umgebung.Diese 2.5-Zimmerwohnung bietet Ihnen folgenden Komfort:Küche mit ParkettbodenBadezimmer mit PlattenbodenWohnzimmer mit ParkettbodenZimmer mit ParkettbodenKüche mit Glaskeramikkochfeld/Backofen und GeschirrspülerModernes Bad mit DuscheKeinen BalkonKein LiftHaben wir Ihr Interesse geweckt? Für einen Besichtigungstermin kontaktieren Sie uns bitte schriftlich über das Kontaktformular. Wir freuen uns auf Ihre Anfrage."
"1758193850-14","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","4.5 Zimmer, 201m², CHF 5’055.–","Lagerhausstrasse 10, 8400 Winterthur","CHF 5’055.–","Exklusiv & grosszügig - Wohnen über den Dächern von Winterthur","Wohnen im Herzen von Winterthur, urban, stilvoll, einzigartigWinterthur, eine Stadt voller Leben, Tradition und Moderne. Hier trifft urbaner Lifestyle auf gewachsene Strukturen, Kultur auf Natur und Vernetzung auf Individualität. Mitten in dieser lebendigen Umgebung entstehen die Archhöfe, Ihr neues Zuhause an bester Adresse.Individuelles Wohnen an zentralster LageIn den Archhöfen wohnen Sie dort, wo das Leben pulsiert, direkt beim Bahnhof, mit Einkaufsmöglichkeiten im Haus und optimaler Anbindung an den öffentlichen Verkehr. Gleichzeitig geniessen Sie die Ruhe in begrünten Innenhöfen und die Individualität einer durchdachten, architektonisch spannenden Wohnanlage.Raum für LebensqualitätDie durchdachten Grundrisse bieten ein einzigartiges Raumgefühl:Grosszügige, offene WohnbereicheHohe Decken für ein luftiges AmbienteHohe Fensterfronten mit WeitblickSchlafzimmer mit praktischem VorraumHochwertiger AusbaustandardDie Ausstattung überzeugt mit Qualität und Stil:Elegante Küche mit Kücheninsel und IceDesign-Arbeitsfläche, Geräte von V-ZugVersiegelter Eichenparkett in allen WohnräumenBäder mit ausgewählten, angenehmen MaterialienWeissputz-Wände für schlichte EleganzMultimedia-Steckdosen in jedem RaumMehr als nur WohnenEinkaufen, pendeln, leben, alles direkt vor der TürTiefgaragenplätze können auf Wunsch dazugemietet werdenLassen Sie sich vor Ort begeistern, wir freuen uns auf Ihre Kontaktaufnahme und zeigen Ihnen die Archhöfe gerne persönlich!"
"1758193850-15","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","4.5 Zimmer, 134m², CHF 3’372.–","Theaterstrasse 25b, 8400 Winterthur","CHF 3’372.–","",""
"1758193850-16","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","4.5 Zimmer, 106m², CHF 2’800.–","8405 Winterthur","CHF 2’800.–","MIT BALKON UND CHEMINÉE!",""
"1758193850-17","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","1.5 Zimmer, 44m², CHF 862.–","Wässerwiesenstr. 67r, 8408 Winterthur","CHF 862.–","Tapetenwechsel.",""
"1758193850-18","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","1.5 Zimmer, 36m², CHF 1’500.–","Tössfeldstrasse 67a, 8406 Winterthur","CHF 1’500.–","Wohnen in der topmodernen Überbauung WINTY",""
"1758193850-19","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","4.5 Zimmer, 132m², CHF 3’650.–","Wartstrasse 242a, 8408 Winterthur","CHF 3’650.–","Grosszügige Wohnung im Grünen",""
"1758193850-20","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","1.5 Zimmer, 50m², CHF 1’790.–","Talgutstrasse 27, 8400 Winterthur","CHF 1’790.–","Ihr neuer Lebensraum: modern, grün, vernetzt",""
"1758193864-21","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3.5 Zimmer, 104m², CHF 3’053.–","Marktgasse 74 / Stadthausstrasse 115, 8400 Winterthur","CHF 3’053.–","Einzigartige und top sanierte Altstadtwohnung im Herzen Winterthurs",""
"1758193864-22","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","4.5 Zimmer, 98m², CHF 2’590.–","Schaubergasse 1, 8406 Winterthur","CHF 2’590.–","Ihr neues Zuhause, neu sanierte 4.5 Zimmerwohnung in Winterthur Töss!","Per 01.11.2025 oder nach Vereinbarung vermieten wir an der Schaubergasse 1 diese 4.5 Zimmerwohnung. Der hochwertige und ästhetische Innenausbau lässt kaum Wünsche offen. Die offene Küche verfügt über energieeffiziente Geräte der Marke Elektrolux. Ein eigener Waschturm gehört zur Wohnung, der Ihnen maximalen Komfort bietet und Ihren Alltag erleichtert. Geniessen Sie Vorzüge wie Freecooling in der Wohnung, Ladestationen für Elektrofahrzeuge in der Tiefgarage und ein Dach aus Photovoltaik-Modulen. Haustiere: Es sind lediglich Hauskatzen und Kleintiere erlaubt. Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre digitale Bewerbung."
"1758193864-23","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3.5 Zimmer, 91m², CHF 2’350.–","Zürcherstr. 133, 8406 Winterthur","CHF 2’350.–","Moderne 3.5-Zimmer-Wohnung in Winterthur","Entdecken Sie diese hochwertige 3.5-Zimmer-Wohnung in einem modernen Neubau von 2022 an der Zürcherstrasse 133 in Winterthur. Die 91 m² grosse Wohnung im Erdgeschoss überzeugt mit zeitgemässem Wohnkomfort und nachhaltiger Bauweise nach Minergie-Standard.Die Wohnung bietet: • Moderne offene Küche: Mit Ziegelakzentwand, hochwertigen Edelstahlgeräten, Geschirrspüler und grossen Fenstern für viel Tageslicht • Grosszügige Wohnräume: Helle Zimmer mit edlen Holzböden und Glasschiebetüren zum privaten Balkon • Zwei stilvolle Badezimmer: Mit schwarzen Marmorfliesen, Glasduschen und modernem Design • Praktischer Hauswirtschaftsraum: Mit eigener Waschmaschine und Trockner Ausstattung und Komfort: Das rollstuhlgängige Gebäude verfügt über einen Lift und bietet kinderfreundliche Umgebung. Haustiere sind willkommen. Die Wohnung ist sonnig gelegen und profitiert von der ruhigen Lage trotz urbaner Anbindung.Perfekte Lage: Die Bushaltestelle ""Neubruch"" erreichen Sie in nur 2 Gehminuten. Die Schule Laubegg ist 9 Minuten entfernt, und eine Tankstelle mit Einkaufsmöglichkeiten befindet sich 10 Gehminuten entfernt. Das nahegelegene Bahnnetz sorgt für optimale Verbindungen.Diese moderne Wohnung mit unterirdischem Fahrradparkplatz und gepflegter Aussenanlage ist ideal für Familien oder Paare, die Wert auf nachhaltiges Wohnen und urbanen Komfort legen. Verfügbar ab April 2026."
"1758193864-24","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","4.5 Zimmer, 116m², CHF 3’060.–","Hobelwerkweg 23, 8404 Winterthur","CHF 3’060.–","Exklusive Attika mit viel Licht & Wohlfühl-Atmosphäre","Die Lage Urban und gleichzeitig kinderfreundlich präsentiert sich der Stadtteil Oberwinterthur. Im alten Dorfkern und rund um den Bahnhof bietet das grösste Quartier der Stadt ideale Geschäfts- und Einkaufsmöglichkeiten. Schulen und Kindergärten liegen in unmittelbarer Nähe der Wohnüberbauung. Naherholungsgebiete mit Seen und Wäldern zum Wandern, Joggen und Velofahren liegen nur wenige Gehminuten entfernt. Im Takt ist in mehrfacher Hinsicht optimal gelegen. Die Winterthurer Stadtbusse und direkte S-Bahn-Züge nach Zürich halten praktisch vor der Haustüre. Der Flughafen Zürich ist ebenso schnell erreichbar wie die malerische Landschaft des Zürcher Oberlands und der Ostschweiz. Ein Rundgang durch die WohnungDer durchdachte Grundriss bietet Ihnen auf 116 m2 die Möglichkeit, sich Ihre Wohnräume ganz nach Ihren Vorstellungen einzurichten. Der hochwertige Akazienholzparkettboden in allen Wohnbereichen schafft eine behagliche und warme Atmosphäre. Besonders hervorzuheben sind die beiden Terrassen, die zum Verweilen einladen, sowie die raumhohen Fenster, die für viel Tageslicht sorgen. Weitere Vorzüge dieser Wohnung: - Offene, moderne Küche- Grosszügiges Wohnzimmer- Badezimmer mit Badewanne/WC- Separates Bad/WC- Eigener Waschturm im Bad- Raumhohe Fenster- Wohn-/Esszimmer mit Zugang zur Terrasse- Alle Zimmer mit direktem Zugang zur Terrasse- Praktisches Reduit innerhalb der Wohnung- Kellerabteil für zusätzlichen Stauraum- Lift bis in die Tiefgarage Details Ein Einstellplatz in der Tiefgarage kann auf Wunsch dazu gemietet werden. In der Überbauung befindet sich ein origineller Spielplatz. Anschreiben. Besichtigen. Mieten. Wann möchten Sie Ihre zukünftige Aussicht besichtigen? Wir freuen uns auf Ihre Kontaktaufnahme! Der Besichtigungstermin findet wie folgt statt: Samstag, 20.09.2025 von 17:00 Uhr bis 18:00 Uhr.Klingeln Sie bitte bei ""M. Aschwanden"". Wir freuen uns auf Ihre Bewerbung! Als Mieter von Helvetia profitieren Sie von 40% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte! Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/miete Bei den publizierten Bildern handelt es sich um typenähnliche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich."
"1758193864-25","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","4.5 Zimmer, 147m², CHF 3’510.–","Hobelwerkweg 29, 8404 Winterthur","CHF 3’510.–","Suchen Sie eine trendige Familienwohnung?","Die LageUrban und gleichzeitig kinderfreundlich präsentiert sich der Stadtteil Oberwinterthur. Im alten Dorfkern und rund um den Bahnhof bietet das grösste Quartier der Stadt ideale Geschäfts- und Einkaufsmöglichkeiten. Schulen und Kindergärten liegen in unmittelbarer Nähe der Wohnüberbauung.Naherholungsgebiete mit Seen und Wäldern zum Wandern, Joggen und Velofahren liegen nur wenige Gehminuten entfernt.Im Takt ist in mehrfacher Hinsicht optimal gelegen. Die Winterthurer Stadtbusse und direkte S-Bahn-Züge nach Zürich halten praktisch vor der Haustüre. Der Flughafen Zürich ist ebenso schnell erreichbar wie die malerische Landschaft des Zürcher Oberlands und der Ostschweiz.Ein Rundgang durch die WohnungDer durchdachte Grundriss lässt Ihnen Freiheiten sich auf 146 m2 individuell einzurichten. Der wunderschöne Akazienholzparkettboden in allen Wohnräumen sorgt für eine behaglich &amp; warme Wohnatmosphäre. Ein Highlight ist der Balkon, welches zum Verweilen einlädt und die Raumhohen Fenster die für viel Licht sorgen. Weiter bietet Ihnen diese Wohnung folgende Vorzüge:- offene, moderne Küche- Badezimmer mit Badewanne/WC- Separates Bad/WC- eigener Waschturm im Bad- Raumhohe Fenster- Wohn-/Esszimmer mit Zugang zum Balkon- Elternschlafzimmer mit direktem Zugang ins Badezimmer- Das Kellerabteil bietet zusätzlichen Stauraum- Komfortlüftung sorgt bei geschlossenen Fenstern für ein angenehmes Wohnklima und saubere Luft- Lift bis in die TiefgarageDetailsEin Einstellplatz in der Tiefgarage kann auf Wunsch dazu gemietet werden. In der Überbauung befindet sich ein origineller Spielplatz.Anschreiben. Besichtigen. Mieten.Wann möchten Sie Ihre zukünftige Aussicht besichtigen? Wir freuen uns auf Ihre Kontaktaufnahme!Der Besichtigungstermin findet wie folgt statt:Samstag, 13.09.2025 von 09:00 Uhr bis 10:00 Uhr. Klingeln Sie bitte bei ""T. Kukiolka"".Wir freuen uns auf Ihre Bewerbung! Als Mieter von Helvetia profitieren Sie von 40% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/miete Bei den publizierten Bildern handelt es sich um typenähnliche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich."
"1758193864-26","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","4.5 Zimmer, 127m², CHF 3’170.–","Else-Züblin-Strasse 98, 8404 Winterthur","CHF 3’170.–","Suchen Sie mehr Platz für Ihre Familie?","Die LageDer Eulachpark, der grösste Park in Winterthur, liegt direkt vor der Haustür Ihres neuen Zuhauses und lädt zum Entspannen und Verweilen ein. Hier wohnen Sie in einem aufstrebenden Quartier, das durch seine familienfreundliche Infrastruktur, kurze Wege zu Schulen und ein attraktives Naherholungsgebiet besticht.Die Buslinie Nr. 14 hält in unmittelbarer Nähe der Überbauung und bringt Sie im Viertelstundentakt bequem zum Bahnhof Winterthur. Von dort aus erreichen Sie Zürich in nur 30 Minuten, den Flughafen in 20 Minuten, Schaffhausen in etwa 30 Minuten und St. Gallen in 45 Minuten.Ein Rundgang durch die WohnungDank des grosszügigen Grundrisses, finden Sie und Ihre Familie auf insgesamt ca. 127m2 genügend Freiheiten Ihren persönlichen Wohntraum Wirklichkeit werden zu lassen und sich zudem genügend Rückzugsmöglichkeiten zu verschaffen. Ihr neues Zuhause zeichnet sich zudem durch eine intelligente Raumaufteilung mit geräumigen Zimmern und viel Stauraum aus. Der helle Eichenparkettboden sorgt in allen Wohnräumen für eine behagliche Atmosphäre und garantiert ein helles, lichtdurchflutetes Wohnklima. Weitere Vorteile Ihrer neuen Wohnung sind: - Offene, moderne Küche- Helles und grosszügiges Wohnzimmer - Badezimmer mit Badewanne- Separates Dusche/WC - Reduit mit eigenem Waschturm- Schlafzimmer mit direktem Zugang zur Ankleide- Loggia mit direktem Zugang zum Wohnzimmer und einem weiteren Zimmer - Grosszügiger Eingangsbereich mit Garderobe und Wandschrank- Minergie-Standard - Lift bis in die TiefgarageDetailsEin Einstellplatz in der Tiefgarage kann auf Wunsch dazu gemietet werden.In der Überbauung befindet sich ein origineller Spielplatz und eine Kindertagesstätte.Anschreiben. Besichtigen. Mieten.Möchten Sie Ihrer Familie mehr Raum gönnen und in einem Trendquartier wohnen? Dann freuen wir uns auf Ihre Anmeldung für die Besichtigung unter dem folgenden Link: https://flatfox.ch/de/viewing/71670/?code=VSIel_G0D8g36icelchTBML1A2ax3MZMRA56cc9dFeQ Als Mieter profitieren Sie von 40% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Bei den publizierten Bildern handelt es sich um typenähnliche/typengleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich.Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/miete"
"1758193864-27","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","4 Zimmer, 84m², CHF 1’790.–","Kanzleistrasse 19, 8405 Winterthur","CHF 1’790.–","Hier endet Ihre Wohnungssuche","Per 01.11.2025 vermieten wir diese 4.0-Zimmerwohnung in Winterthur. Die Wohnung bietet Ihnen folgende Annehmlichkeiten: - Wohn- und Schlafzimmer sowie Küche mit Parkettboden- Nasszellen mit pflegeleichtem PVC-Boden- Grosszügiger Wohn- und Essbereich mit Zugang zum Balkon- Küche mit Backofen, Herdplatte und Stauraum für Ihre Küchenutensilien- Badezimmer mit Lavabo, Spiegelschrank und Badewanne- Separates WC mit Lavabo und Spiegelschrank- Balkon vorhanden- Eigenes Kellerabteil- Waschküche und Trockenraum zur Mitbenutzung- Lift vorhanden Die Haustierhaltung ist in dieser Liegenschaft erlaubt. Nach Verfügbarkeit kann ein Einstellplatz für CHF 110.00 pro Monat dazu gemietet werden. Umgebung: - Diverse Einkaufsmöglichkeiten befinden sich in unmittelbarer Nähe- Für den kleinen und grossen Hunger gibt es diverse Restaurants in der nahen Umgebung- Sehr gute Anschlüsse an die Autobahn und an den öffentlichen Verkehr Bitte beachten Sie, dass die Bilder als Referenzbilder dienen und vom Original abweichen können. Haben wir Ihr Interesse geweckt? Für einen Besichtigungstermin kontaktieren Sie uns bitte schriftlich über das Kontaktformular. Wir freuen uns auf Ihre Anfrage."
